token	corpus size	all contexts size	frequency	co-frequency	specificity
дух	76243	4292	107	37	19.17
Боевой	76243	4292	9	9	11.25
злой	76243	4292	20	12	10.10
сила	76243	4292	37	15	9.33
человеческом	76243	4292	10	8	8.40
В	76243	4292	173	29	7.00
человека	76243	4292	137	25	6.86
сильным	76243	4292	8	6	6.10
злого	76243	4292	8	6	6.10
является	76243	4292	34	11	5.87
духе	76243	4292	14	7	5.39
философии	76243	4292	10	6	5.28
полностью	76243	4292	10	6	5.28
человеческий	76243	4292	21	8	5.02
антропологии	76243	4292	4	4	5.00
search	76243	4292	4	4	5.00
нечистый	76243	4292	4	4	5.00
человеке	76243	4292	16	7	4.92
сильных	76243	4292	8	5	4.58
злобы	76243	4292	38	10	4.53
душа	76243	4292	55	12	4.44
признаков	76243	4292	5	4	4.32
силы	76243	4292	33	9	4.27
воли	76243	4292	33	9	4.27
Читать	76243	4292	9	5	4.25
себя	76243	4292	154	21	3.98
Дух	76243	4292	90	15	3.97
способность	76243	4292	10	5	3.97
как	76243	4292	500	48	3.93
Божьего	76243	4292	6	4	3.87
собственно	76243	4292	6	4	3.87
раскрывается	76243	4292	3	3	3.75
движений	76243	4292	3	3	3.75
Рецепт	76243	4292	3	3	3.75
противления	76243	4292	3	3	3.75
Криса	76243	4292	7	4	3.53
духа	76243	4292	80	13	3.43
человеческой	76243	4292	19	6	3.39
стать	76243	4292	13	5	3.34
её	76243	4292	20	6	3.26
у	76243	4292	165	20	3.20
природа	76243	4292	4	3	3.17
наук	76243	4292	4	3	3.17
сильный	76243	4292	4	3	3.17
ситуации	76243	4292	4	3	3.17
душе	76243	4292	37	8	3.14
духом	76243	4292	37	8	3.14
теме	76243	4292	9	4	3.02
Феофан	76243	4292	15	5	3.02
человек	76243	4292	70	11	2.90
ищет	76243	4292	10	4	2.83
высшая	76243	4292	5	3	2.80
Понятие	76243	4292	5	3	2.80
уровне	76243	4292	5	3	2.80
конечно	76243	4292	17	5	2.76
св	76243	4292	135	16	2.63
душу	76243	4292	46	8	2.54
души	76243	4292	67	10	2.54
способности	76243	4292	6	3	2.52
Ф	76243	4292	6	3	2.52
содержание	76243	4292	6	3	2.52
Брянчанинов	76243	4292	6	3	2.52
Ум-нус	76243	4292	2	2	2.50
суждения	76243	4292	2	2	2.50
Гегеля	76243	4292	2	2	2.50
онтологии	76243	4292	2	2	2.50
способностям	76243	4292	2	2	2.50
знанию	76243	4292	2	2	2.50
Святитель	76243	4292	2	2	2.50
Свт	76243	4292	2	2	2.50
познает	76243	4292	2	2	2.50
равен	76243	4292	2	2	2.50
качеств	76243	4292	2	2	2.50
сочетания	76243	4292	2	2	2.50
проявления	76243	4292	2	2	2.50
тварным	76243	4292	2	2	2.50
малым	76243	4292	2	2	2.50
нечим	76243	4292	2	2	2.50
ком	76243	4292	2	2	2.50
достоинством	76243	4292	2	2	2.50
соединения	76243	4292	2	2	2.50
мысленной	76243	4292	2	2	2.50
ведение	76243	4292	2	2	2.50
сочетание	76243	4292	2	2	2.50
увлекается	76243	4292	2	2	2.50
гостьи	76243	4292	2	2	2.50
Плоть	76243	4292	2	2	2.50
противного	76243	4292	2	2	2.50
Тихон	76243	4292	2	2	2.50
осознания	76243	4292	2	2	2.50
поступков	76243	4292	2	2	2.50
Сильные	76243	4292	2	2	2.50
собственные	76243	4292	2	2	2.50
призраком	76243	4292	2	2	2.50
Игровой	76243	4292	2	2	2.50
войска	76243	4292	2	2	2.50
столкнуться	76243	4292	2	2	2.50
боевой	76243	4292	2	2	2.50
функционирует	76243	4292	2	2	2.50
безводным	76243	4292	2	2	2.50
местам	76243	4292	2	2	2.50
наперекор	76243	4292	2	2	2.50
сынах	76243	4292	2	2	2.50
Злой	76243	4292	2	2	2.50
нечистого	76243	4292	2	2	2.50
понятие	76243	4292	7	3	2.31
Г	76243	4292	7	3	2.31
Затворник	76243	4292	14	4	2.25
о	76243	4292	347	30	2.24
Литература	76243	4292	8	3	2.13
Игнатий	76243	4292	8	3	2.13
сущность	76243	4292	8	3	2.13
призрак	76243	4292	8	3	2.13
сатане	76243	4292	8	3	2.13
материи	76243	4292	3	2	2.05
субъективного	76243	4292	3	2	2.05
противопоставляется	76243	4292	3	2	2.05
лат	76243	4292	3	2	2.05
абсолютного	76243	4292	3	2	2.05
личности	76243	4292	3	2	2.05
Никодимом	76243	4292	3	2	2.05
сторона	76243	4292	3	2	2.05
мест	76243	4292	3	2	2.05
писателя	76243	4292	3	2	2.05
деятельной	76243	4292	3	2	2.05
чувствующей	76243	4292	3	2	2.05
манит	76243	4292	3	2	2.05
созерцать	76243	4292	3	2	2.05
величием	76243	4292	3	2	2.05
сильной	76243	4292	3	2	2.05
главного	76243	4292	3	2	2.05
достойно	76243	4292	3	2	2.05
мифологиях	76243	4292	3	2	2.05
жертва	76243	4292	3	2	2.05
уверенность	76243	4292	3	2	2.05
занимается	76243	4292	3	2	2.05
хитрости	76243	4292	3	2	2.05
воздушной	76243	4292	3	2	2.05
суть	76243	4292	16	4	2.04
человеком	76243	4292	25	5	2.03
значение	76243	4292	9	3	1.98
человеческого	76243	4292	17	4	1.95
каждого	76243	4292	17	4	1.95
есть	76243	4292	206	19	1.94
в	76243	4292	1967	126	1.91
можно	76243	4292	61	8	1.86
желание	76243	4292	10	3	1.85
По	76243	4292	51	7	1.79
Божию	76243	4292	19	4	1.79
может	76243	4292	102	11	1.78
ней	76243	4292	29	5	1.78
богословии	76243	4292	4	2	1.77
выступает	76243	4292	4	2	1.77
психология	76243	4292	4	2	1.77
естества	76243	4292	4	2	1.77
Человеческий	76243	4292	4	2	1.77
способностью	76243	4292	4	2	1.77
удовлетворить	76243	4292	4	2	1.77
Получив	76243	4292	4	2	1.77
Сборник	76243	4292	4	2	1.77
цитат	76243	4292	4	2	1.77
Сила	76243	4292	4	2	1.77
Люди	76243	4292	4	2	1.77
Упоминается	76243	4292	4	2	1.77
всяких	76243	4292	4	2	1.77
набор	76243	4292	4	2	1.77
Искусство	76243	4292	4	2	1.77
влиять	76243	4292	4	2	1.77
архиепископ	76243	4292	4	2	1.77
проявляются	76243	4292	4	2	1.77
понять	76243	4292	11	3	1.73
имеет	76243	4292	30	5	1.72
действия	76243	4292	30	5	1.72
свой	76243	4292	20	4	1.72
который	76243	4292	79	9	1.69
Божий	76243	4292	21	4	1.65
выше	76243	4292	21	4	1.65
ее	76243	4292	109	11	1.63
рода	76243	4292	22	4	1.59
развитие	76243	4292	5	2	1.57
волей	76243	4292	5	2	1.57
форме	76243	4292	5	2	1.57
психологии	76243	4292	5	2	1.57
православной	76243	4292	5	2	1.57
составляет	76243	4292	5	2	1.57
слову	76243	4292	5	2	1.57
Страх	76243	4292	5	2	1.57
совесть	76243	4292	5	2	1.57
человеческим	76243	4292	5	2	1.57
самому	76243	4292	5	2	1.57
вне	76243	4292	5	2	1.57
красоту	76243	4292	5	2	1.57
позволяет	76243	4292	5	2	1.57
приняли	76243	4292	5	2	1.57
процесс	76243	4292	5	2	1.57
игроков	76243	4292	5	2	1.57
ища	76243	4292	5	2	1.57
покоя	76243	4292	5	2	1.57
действующего	76243	4292	5	2	1.57
книге	76243	4292	13	3	1.54
тело	76243	4292	23	4	1.53
области	76243	4292	23	4	1.53
этом	76243	4292	59	7	1.52
прежде	76243	4292	25	4	1.42
тела	76243	4292	25	4	1.42
такое	76243	4292	25	4	1.42
философских	76243	4292	6	2	1.42
теле	76243	4292	6	2	1.42
присутствие	76243	4292	6	2	1.42
Может	76243	4292	6	2	1.42
поводу	76243	4292	6	2	1.42
зависимости	76243	4292	6	2	1.42
Толковый	76243	4292	6	2	1.42
твоем	76243	4292	6	2	1.42
гордости	76243	4292	6	2	1.42
Бытия	76243	4292	6	2	1.42
Для	76243	4292	37	5	1.41
2	76243	4292	136	12	1.41
была	76243	4292	50	6	1.40
часть	76243	4292	15	3	1.39
силой	76243	4292	15	3	1.39
словарь	76243	4292	15	3	1.39
ум	76243	4292	26	4	1.38
быть	76243	4292	79	8	1.37
жизнь	76243	4292	79	8	1.37
свт	76243	4292	27	4	1.33
действительно	76243	4292	27	4	1.33
таким	76243	4292	27	4	1.33
различные	76243	4292	7	2	1.30
Игнатия	76243	4292	7	2	1.30
Евр	76243	4292	7	2	1.30
невидимого	76243	4292	7	2	1.30
основании	76243	4292	7	2	1.30
горе	76243	4292	7	2	1.30
человеческая	76243	4292	7	2	1.30
стремление	76243	4292	7	2	1.30
область	76243	4292	7	2	1.30
Начало	76243	4292	7	2	1.30
Божии	76243	4292	7	2	1.30
помогает	76243	4292	7	2	1.30
долго	76243	4292	7	2	1.30
выйдет	76243	4292	7	2	1.30
причиной	76243	4292	7	2	1.30
том	76243	4292	68	7	1.30
животных	76243	4292	17	3	1.27
из	76243	4292	300	21	1.26
или	76243	4292	215	16	1.25
индийской	76243	4292	1	1	1.25
Атмана	76243	4292	1	1	1.25
Пуруша	76243	4292	1	1	1.25
пракрити	76243	4292	1	1	1.25
материально-психической	76243	4292	1	1	1.25
античной	76243	4292	1	1	1.25
аспекты	76243	4292	1	1	1.25
представлены	76243	4292	1	1	1.25
всепроникающий	76243	4292	1	1	1.25
логос	76243	4292	1	1	1.25
Гераклит	76243	4292	1	1	1.25
νοῦς	76243	4292	1	1	1.25
евр	76243	4292	1	1	1.25
רוח	76243	4292	1	1	1.25
אלהים	76243	4292	1	1	1.25
ah	76243	4292	1	1	1.25
'Ĕlōhîm	76243	4292	1	1	1.25
божественный	76243	4292	1	1	1.25
Филона	76243	4292	1	1	1.25
трёхчастной	76243	4292	1	1	1.25
патристического	76243	4292	1	1	1.25
составе	76243	4292	1	1	1.25
Определяющим	76243	4292	1	1	1.25
богословия	76243	4292	1	1	1.25
принципиальное	76243	4292	1	1	1.25
различение	76243	4292	1	1	1.25
божественным	76243	4292	1	1	1.25
мусульманском	76243	4292	1	1	1.25
термин	76243	4292	1	1	1.25
араб	76243	4292	1	1	1.25
روح	76243	4292	1	1	1.25
выступающий	76243	4292	1	1	1.25
синоним	76243	4292	1	1	1.25
нафс	76243	4292	1	1	1.25
относился	76243	4292	1	1	1.25
рационалистическое	76243	4292	1	1	1.25
мышления	76243	4292	1	1	1.25
mens	76243	4292	1	1	1.25
мыслящая	76243	4292	1	1	1.25
субстанция	76243	4292	1	1	1.25
противопоставленная	76243	4292	1	1	1.25
протяжённой	76243	4292	1	1	1.25
субстанции	76243	4292	1	1	1.25
обладающих	76243	4292	1	1	1.25
Лейбниц	76243	4292	1	1	1.25
Одним	76243	4292	1	1	1.25
синонимов	76243	4292	1	1	1.25
l'esprit	76243	4292	1	1	1.25
Гельвеция	76243	4292	1	1	1.25
гений	76243	4292	1	1	1.25
творческая	76243	4292	1	1	1.25
открытиям	76243	4292	1	1	1.25
изобретениям	76243	4292	1	1	1.25
Кант	76243	4292	1	1	1.25
Критике	76243	4292	1	1	1.25
определяет	76243	4292	1	1	1.25
эстетических	76243	4292	1	1	1.25
Социальное	76243	4292	1	1	1.25
присутствующего	76243	4292	1	1	1.25
надындивидуального	76243	4292	1	1	1.25
понятиях	76243	4292	1	1	1.25
законов	76243	4292	1	1	1.25
Ш	76243	4292	1	1	1.25
Монтескьё	76243	4292	1	1	1.25
всеобщая	76243	4292	1	1	1.25
Ж	76243	4292	1	1	1.25
-Ж	76243	4292	1	1	1.25
Руссо	76243	4292	1	1	1.25
пронизывающий	76243	4292	1	1	1.25
сферы	76243	4292	1	1	1.25
определяющий	76243	4292	1	1	1.25
историческое	76243	4292	1	1	1.25
Гердера	76243	4292	1	1	1.25
объективный	76243	4292	1	1	1.25
охватывающий	76243	4292	1	1	1.25
гражданское	76243	4292	1	1	1.25
идеализма	76243	4292	1	1	1.25
истолкование	76243	4292	1	1	1.25
абсолютной	76243	4292	1	1	1.25
Шеллинг	76243	4292	1	1	1.25
реализующей	76243	4292	1	1	1.25
единство	76243	4292	1	1	1.25
противостоящее	76243	4292	1	1	1.25
не-Я	76243	4292	1	1	1.25
тождества	76243	4292	1	1	1.25
Шеллинга	76243	4292	1	1	1.25
предстают	76243	4292	1	1	1.25
полюса	76243	4292	1	1	1.25
Абсолюта	76243	4292	1	1	1.25
невидимая	76243	4292	1	1	1.25
центральное	76243	4292	1	1	1.25
явленных	76243	4292	1	1	1.25
завершённая	76243	4292	1	1	1.25
последовательность	76243	4292	1	1	1.25
предстаёт	76243	4292	1	1	1.25
феноменология	76243	4292	1	1	1.25
случайностей	76243	4292	1	1	1.25
актуально	76243	4292	1	1	1.25
аристотелевский	76243	4292	1	1	1.25
нуждается	76243	4292	1	1	1.25
материей	76243	4292	1	1	1.25
Спонтанное	76243	4292	1	1	1.25
раскрывающее	76243	4292	1	1	1.25
дискурсивной	76243	4292	1	1	1.25
саморазвивающейся	76243	4292	1	1	1.25
позднейшей	76243	4292	1	1	1.25
Энциклопедии	76243	4292	1	1	1.25
завершает	76243	4292	1	1	1.25
постижение	76243	4292	1	1	1.25
абсолюта	76243	4292	1	1	1.25
для-себя-бытии	76243	4292	1	1	1.25
конечного	76243	4292	1	1	1.25
объективного	76243	4292	1	1	1.25
бесконечного	76243	4292	1	1	1.25
представленного	76243	4292	1	1	1.25
искусством	76243	4292	1	1	1.25
религией	76243	4292	1	1	1.25
философией	76243	4292	1	1	1.25
течений	76243	4292	1	1	1.25
характерны	76243	4292	1	1	1.25
психологизация	76243	4292	1	1	1.25
сведение	76243	4292	1	1	1.25
интеллектуальным	76243	4292	1	1	1.25
Шопенгауэр	76243	4292	1	1	1.25
сознанию	76243	4292	1	1	1.25
опыту	76243	4292	1	1	1.25
Германии	76243	4292	1	1	1.25
направления	76243	4292	1	1	1.25
специфического	76243	4292	1	1	1.25
способа	76243	4292	1	1	1.25
истолкования	76243	4292	1	1	1.25
методологическое	76243	4292	1	1	1.25
противопоставление	76243	4292	1	1	1.25
гуманитарных	76243	4292	1	1	1.25
естественно-научному	76243	4292	1	1	1.25
наукам	76243	4292	1	1	1.25
восходящем	76243	4292	1	1	1.25
Ницше	76243	4292	1	1	1.25
натуралистическом	76243	4292	1	1	1.25
варианте	76243	4292	1	1	1.25
жизненных	76243	4292	1	1	1.25
влечений	76243	4292	1	1	1.25
насильственное	76243	4292	1	1	1.25
расчленяющее	76243	4292	1	1	1.25
разрушающее	76243	4292	1	1	1.25
пантеистически	76243	4292	1	1	1.25
окрашенной	76243	4292	1	1	1.25
метафизике	76243	4292	1	1	1.25
позднего	76243	4292	1	1	1.25
Шелера	76243	4292	1	1	1.25
изначальное	76243	4292	1	1	1.25
бессильного	76243	4292	1	1	1.25
мощного	76243	4292	1	1	1.25
слепого	76243	4292	1	1	1.25
витального	76243	4292	1	1	1.25
порыва	76243	4292	1	1	1.25
разрешается	76243	4292	1	1	1.25
взаимопроникновение	76243	4292	1	1	1.25
оживотворению	76243	4292	1	1	1.25
осуществлению	76243	4292	1	1	1.25
deitas	76243	4292	1	1	1.25
Гартмана	76243	4292	1	1	1.25
высший	76243	4292	1	1	1.25
слой	76243	4292	1	1	1.25
психики	76243	4292	1	1	1.25
философской	76243	4292	1	1	1.25
мотивационно-смысловых	76243	4292	1	1	1.25
аспектов	76243	4292	1	1	1.25
творческих	76243	4292	1	1	1.25
потенций	76243	4292	1	1	1.25
ценностных	76243	4292	1	1	1.25
установок	76243	4292	1	1	1.25
Понимающая	76243	4292	1	1	1.25
Гуманистическая	76243	4292	1	1	1.25
широким	76243	4292	1	1	1.25
охватывая	76243	4292	1	1	1.25
вмещает	76243	4292	1	1	1.25
проводником	76243	4292	1	1	1.25
нрав	76243	4292	1	1	1.25
Шнорр	76243	4292	1	1	1.25
фон	76243	4292	1	1	1.25
Карольсфельд	76243	4292	1	1	1.25
Юлиус	76243	4292	1	1	1.25
Отцам	76243	4292	1	1	1.25
самостоятельная	76243	4292	1	1	1.25
соединен	76243	4292	1	1	1.25
земных	76243	4292	1	1	1.25
непорочности	76243	4292	1	1	1.25
Чудотворцу	76243	4292	1	1	1.25
воспринимаются	76243	4292	1	1	1.25
непостижим	76243	4292	1	1	1.25
непостижимому	76243	4292	1	1	1.25
Уму	76243	4292	1	1	1.25
Первообраза	76243	4292	1	1	1.25
тождественен	76243	4292	1	1	1.25
нетварного	76243	4292	1	1	1.25
тварен	76243	4292	1	1	1.25
ограничен	76243	4292	1	1	1.25
ограничена	76243	4292	1	1	1.25
конечна	76243	4292	1	1	1.25
рассматривание	76243	4292	1	1	1.25
живущую	76243	4292	1	1	1.25
составляющую	76243	4292	1	1	1.25
признаком	76243	4292	1	1	1.25
Эту	76243	4292	1	1	1.25
словесности	76243	4292	1	1	1.25
Сюда	76243	4292	1	1	1.25
отнесены	76243	4292	1	1	1.25
мыслить	76243	4292	1	1	1.25
изящного	76243	4292	1	1	1.25
различно	76243	4292	1	1	1.25
Различается	76243	4292	1	1	1.25
глубокого	76243	4292	1	1	1.25
аскетического	76243	4292	1	1	1.25
Иное	76243	4292	1	1	1.25
Якоже	76243	4292	1	1	1.25
суще	76243	4292	1	1	1.25
1820	76243	4292	1	1	1.25
вдохнул	76243	4292	1	1	1.25
завершая	76243	4292	1	1	1.25
вдохнутый	76243	4292	1	1	1.25
сочетавшись	76243	4292	1	1	1.25
возвысил	76243	4292	1	1	1.25
одуховленной	76243	4292	1	1	1.25
исшедшая	76243	4292	1	1	1.25
осязательные	76243	4292	1	1	1.25
каких	76243	4292	1	1	1.25
Мздовоздаятель	76243	4292	1	1	1.25
написанный	76243	4292	1	1	1.25
Исповедуя	76243	4292	1	1	1.25
благоговеинствует	76243	4292	1	1	1.25
Сознавая	76243	4292	1	1	1.25
руководила	76243	4292	1	1	1.25
Сообщив	76243	4292	1	1	1.25
частичку	76243	4292	1	1	1.25
всеведения	76243	4292	1	1	1.25
указанном	76243	4292	1	1	1.25
естественном	76243	4292	1	1	1.25
символе	76243	4292	1	1	1.25
начертал	76243	4292	1	1	1.25
судить	76243	4292	1	1	1.25
исправности	76243	4292	1	1	1.25
неисправности	76243	4292	1	1	1.25
Сия	76243	4292	1	1	1.25
недовольство	76243	4292	1	1	1.25
тварное	76243	4292	1	1	1.25
исшедши	76243	4292	1	1	1.25
небесному	76243	4292	1	1	1.25
разъясняю	76243	4292	1	1	1.25
проявлений	76243	4292	1	1	1.25
навожу	76243	4292	1	1	1.25
Вашу	76243	4292	1	1	1.25
довесть	76243	4292	1	1	1.25
